STN;YYYYMMDD;HH;FH;T;Q;P;U
260;20230101;1;80;155;0;10065;58
260;20230101;2;90;150;0;10070;61
260;20230101;3;80;149;0;10074;60
260;20230101;4;80;139;0;10083;68
260;20230101;5;80;131;0;10092;73
260;20230101;6;70;129;0;10099;67
260;20230101;7;70;125;0;10108;64
260;20230101;8;60;116;1;10123;69
260;20230101;9;50;115;8;10131;71
260;20230101;10;50;120;34;10135;71
260;20230101;11;60;128;46;10136;72
260;20230101;12;60;123;35;10139;78
260;20230101;13;60;129;37;10140;72
260;20230101;14;50;125;22;10140;74
260;20230101;15;40;123;11;10137;76
260;20230101;16;30;122;2;10141;77
260;20230101;17;40;121;0;10135;78
260;20230101;18;40;115;0;10132;83
260;20230101;19;30;107;0;10125;93
260;20230101;20;30;106;0;10121;94
260;20230101;21;30;105;0;10112;96
260;20230101;22;40;106;0;10103;96
260;20230101;23;30;113;0;10097;91
260;20230101;24;40;114;0;10092;92
260;20230102;1;40;114;0;10086;91
260;20230102;2;40;119;0;10083;90
260;20230102;3;40;122;0;10082;89
260;20230102;4;50;127;0;10083;88
260;20230102;5;60;124;0;10084;91
260;20230102;6;60;99;0;10100;94
260;20230102;7;40;93;0;10116;93
260;20230102;8;30;89;1;10132;92
260;20230102;9;40;91;4;10144;89
260;20230102;10;40;90;16;10152;87
260;20230102;11;30;93;38;10155;87
260;20230102;12;40;97;44;10160;85
260;20230102;13;40;97;23;10165;86
260;20230102;14;40;91;11;10168;91
260;20230102;15;40;92;11;10179;89
260;20230102;16;40;89;1;10190;85
260;20230102;17;30;85;0;10200;87
260;20230102;18;30;71;0;10207;89
260;20230102;19;30;69;0;10218;87
260;20230102;20;20;57;0;10225;92
260;20230102;21;20;52;0;10231;95
260;20230102;22;20;49;0;10238;92
260;20230102;23;20;52;0;10246;88
260;20230102;24;20;45;0;10250;88
260;20230103;1;20;48;0;10254;90
260;20230103;2;10;21;0;10256;98
260;20230103;3;10;19;0;10258;98
260;20230103;4;20;31;0;10257;98
260;20230103;5;20;31;0;10259;99
260;20230103;6;20;25;0;10256;98
260;20230103;7;20;32;0;10255;97
260;20230103;8;20;39;1;10256;96
260;20230103;9;30;50;6;10258;95
260;20230103;10;40;63;11;10257;94
260;20230103;11;40;70;13;10257;94
260;20230103;12;40;76;16;10251;91
260;20230103;13;40;81;26;10248;88
260;20230103;14;40;84;28;10243;85
260;20230103;15;50;81;11;10240;84
260;20230103;16;50;80;3;10237;84
260;20230103;17;60;80;0;10233;83
260;20230103;18;60;82;0;10229;82
260;20230103;19;70;84;0;10222;81
260;20230103;20;70;84;0;10212;81
260;20230103;21;70;86;0;10205;81
260;20230103;22;70;89;0;10194;80
260;20230103;23;70;91;0;10187;82
260;20230103;24;70;88;0;10174;88
260;20230104;1;70;88;0;10160;92
260;20230104;2;80;97;0;10154;91
260;20230104;3;90;102;0;10149;92
260;20230104;4;80;111;0;10143;88
260;20230104;5;90;112;0;10136;90
260;20230104;6;80;112;0;10130;92
260;20230104;7;80;116;0;10128;90
260;20230104;8;80;115;1;10125;92
260;20230104;9;80;115;2;10127;94
260;20230104;10;70;118;7;10131;94
260;20230104;11;70;119;8;10129;95
260;20230104;12;80;127;15;10125;88
260;20230104;13;70;128;34;10123;85
260;20230104;14;80;126;29;10122;85
260;20230104;15;70;125;10;10121;83
260;20230104;16;70;123;2;10120;83
260;20230104;17;70;121;0;10124;82
260;20230104;18;70;121;0;10131;79
260;20230104;19;70;120;0;10132;80
260;20230104;20;70;121;0;10134;76
260;20230104;21;70;122;0;10139;74
260;20230104;22;80;118;0;10145;74
260;20230104;23;80;115;0;10148;76
260;20230104;24;70;111;0;10152;77
260;20230105;1;60;111;0;10155;76
260;20230105;2;60;110;0;10160;78
260;20230105;3;60;109;0;10163;79
260;20230105;4;60;109;0;10165;79
260;20230105;5;50;108;0;10167;80
260;20230105;6;50;105;0;10173;82
260;20230105;7;50;106;0;10180;81
260;20230105;8;40;104;1;10185;81
260;20230105;9;40;104;8;10194;81
260;20230105;10;40;107;21;10198;80
260;20230105;11;40;110;27;10201;78
260;20230105;12;40;116;50;10199;77
260;20230105;13;40;117;49;10198;77
260;20230105;14;40;114;26;10197;79
260;20230105;15;40;107;14;10197;86
260;20230105;16;40;99;3;10195;91
260;20230105;17;30;97;0;10191;95
260;20230105;18;30;102;0;10187;96
260;20230105;19;40;108;0;10182;94
260;20230105;20;40;110;0;10181;91
260;20230105;21;40;111;0;10179;89
260;20230105;22;50;111;0;10178;88
