STN;YYYYMMDD;HH;FH;T;Q;P;U
260;20200101;1;20;17;0;10345;98
260;20200101;2;30;15;0;10342;99
260;20200101;3;20;16;0;10337;99
260;20200101;4;30;14;0;10332;99
260;20200101;5;30;8;0;10327;99
260;20200101;6;30;2;0;10328;99
260;20200101;7;30;0;0;10329;99
260;20200101;8;30;0;0;10328;98
260;20200101;9;30;1;3;10331;99
260;20200101;10;30;3;9;10332;99
260;20200101;11;30;3;16;10327;99
260;20200101;12;30;4;16;10321;99
260;20200101;13;20;6;16;10313;99
260;20200101;14;20;6;14;10311;99
260;20200101;15;30;6;6;10310;99
260;20200101;16;20;7;1;10311;99
260;20200101;17;30;9;0;10310;99
260;20200101;18;30;5;0;10307;99
260;20200101;19;30;6;0;10308;99
260;20200101;20;20;9;0;10305;99
260;20200101;21;20;15;0;10302;99
260;20200101;22;30;16;0;10299;98
260;20200101;23;30;14;0;10296;98
260;20200101;24;30;16;0;10292;99
260;20200102;1;30;19;0;10286;98
260;20200102;2;30;15;0;10283;99
260;20200102;3;30;14;0;10281;98
260;20200102;4;30;16;0;10274;98
260;20200102;5;30;20;0;10274;98
260;20200102;6;40;23;0;10272;98
260;20200102;7;30;26;0;10268;96
260;20200102;8;30;27;0;10265;97
260;20200102;9;40;27;4;10264;97
260;20200102;10;40;27;7;10264;98
260;20200102;11;40;27;12;10256;98
260;20200102;12;50;29;16;10245;96
260;20200102;13;50;34;12;10233;96
260;20200102;14;40;39;10;10227;95
260;20200102;15;40;43;6;10220;94
260;20200102;16;40;44;1;10217;93
260;20200102;17;50;50;0;10216;93
260;20200102;18;50;56;0;10210;91
260;20200102;19;50;57;0;10205;91
260;20200102;20;60;62;0;10198;91
260;20200102;21;50;64;0;10194;89
260;20200102;22;50;68;0;10192;88
260;20200102;23;50;71;0;10187;88
260;20200102;24;40;73;0;10179;88
260;20200103;1;40;77;0;10170;87
260;20200103;2;40;82;0;10165;86
260;20200103;3;60;85;0;10162;86
260;20200103;4;50;86;0;10156;87
260;20200103;5;60;86;0;10150;88
260;20200103;6;60;84;0;10150;92
260;20200103;7;60;90;0;10146;87
260;20200103;8;60;93;0;10144;85
260;20200103;9;60;90;3;10144;92
260;20200103;10;60;92;7;10142;94
260;20200103;11;60;95;9;10139;94
260;20200103;12;60;98;11;10133;93
260;20200103;13;60;98;11;10141;95
260;20200103;14;50;98;12;10153;94
260;20200103;15;50;79;5;10176;92
260;20200103;16;50;68;1;10200;93
260;20200103;17;30;69;0;10218;90
260;20200103;18;30;61;0;10232;83
260;20200103;19;30;54;0;10247;81
260;20200103;20;30;57;0;10257;80
260;20200103;21;20;45;0;10265;85
260;20200103;22;30;52;0;10273;85
260;20200103;23;30;48;0;10278;87
260;20200103;24;20;47;0;10277;86
260;20200104;1;30;54;0;10277;83
260;20200104;2;30;58;0;10276;84
260;20200104;3;30;48;0;10278;90
260;20200104;4;30;55;0;10278;86
260;20200104;5;30;49;0;10278;89
260;20200104;6;30;49;0;10276;88
260;20200104;7;30;48;0;10279;89
260;20200104;8;30;58;0;10280;87
260;20200104;9;40;72;6;10281;82
260;20200104;10;50;76;17;10285;81
260;20200104;11;50;79;24;10285;80
260;20200104;12;50;81;24;10286;78
260;20200104;13;50;80;13;10289;80
260;20200104;14;50;79;6;10289;82
260;20200104;15;50;76;3;10295;87
260;20200104;16;40;75;1;10301;90
260;20200104;17;40;74;0;10308;93
260;20200104;18;40;74;0;10314;93
260;20200104;19;30;74;0;10318;92
260;20200104;20;30;74;0;10324;93
260;20200104;21;20;72;0;10330;97
260;20200104;22;20;72;0;10331;98
260;20200104;23;10;71;0;10336;96
260;20200104;24;20;71;0;10336;93
260;20200105;1;20;68;0;10335;93
260;20200105;2;20;67;0;10339;95
260;20200105;3;20;71;0;10341;93
260;20200105;4;20;70;0;10343;94
260;20200105;5;20;67;0;10340;95
260;20200105;6;20;68;0;10340;93
260;20200105;7;30;69;0;10339;92
260;20200105;8;30;69;0;10341;91
260;20200105;9;30;71;3;10342;89
260;20200105;10;30;71;10;10343;87
260;20200105;11;30;73;19;10340;85
260;20200105;12;40;75;22;10335;78
260;20200105;13;40;75;15;10328;75
260;20200105;14;30;74;11;10327;77
260;20200105;15;40;73;5;10329;79
260;20200105;16;40;69;1;10328;82
260;20200105;17;40;67;0;10325;83
260;20200105;18;40;64;0;10323;86
260;20200105;19;40;60;0;10322;90
260;20200105;20;40;62;0;10319;87
260;20200105;21;30;64;0;10313;83
260;20200105;22;40;67;0;10310;82
260;20200105;23;30;68;0;10308;85
260;20200105;24;30;66;0;10303;88
260;20200106;1;30;65;0;10297;89
260;20200106;2;30;67;0;10296;88
260;20200106;3;30;67;0;10291;88
260;20200106;4;40;67;0;10286;90
260;20200106;5;40;66;0;10282;92
260;20200106;6;40;65;0;10278;92
260;20200106;7;40;63;0;10276;92
260;20200106;8;40;65;0;10272;85
260;20200106;9;40;65;4;10267;82
260;20200106;10;50;63;11;10264;76
260;20200106;11;50;62;27;10256;71
260;20200106;12;60;67;67;10240;68
260;20200106;13;60;70;84;10228;68
260;20200106;14;50;68;58;10218;71
260;20200106;15;40;65;38;10210;72
260;20200106;16;30;50;6;10206;78
260;20200106;17;30;46;0;10200;79
260;20200106;18;30;40;0;10198;81
260;20200106;19;40;47;0;10195;78
260;20200106;20;40;49;0;10197;78
260;20200106;21;30;53;0;10196;80
260;20200106;22;50;60;0;10195;79
260;20200106;23;50;56;0;10200;90
260;20200106;24;50;58;0;10204;93
260;20200107;1;40;61;0;10211;94
260;20200107;2;30;64;0;10219;95
260;20200107;3;30;59;0;10219;97
260;20200107;4;30;60;0;10226;96
260;20200107;5;30;55;0;10233;97
260;20200107;6;30;51;0;10242;97
260;20200107;7;20;51;0;10248;96
260;20200107;8;20;44;1;10253;98
260;20200107;9;30;55;13;10259;96
260;20200107;10;30;55;21;10263;98
260;20200107;11;40;58;24;10262;98
260;20200107;12;50;65;21;10258;98
260;20200107;13;50;72;25;10255;92
260;20200107;14;40;78;22;10252;91
260;20200107;15;50;77;7;10248;91
260;20200107;16;50;76;2;10245;88
260;20200107;17;50;78;0;10240;82
260;20200107;18;60;76;0;10232;82
260;20200107;19;60;74;0;10233;83
260;20200107;20;60;76;0;10230;82
260;20200107;21;60;76;0;10228;81
260;20200107;22;60;76;0;10225;82
260;20200107;23;60;74;0;10216;90
260;20200107;24;70;82;0;10204;89
260;20200108;1;60;87;0;10203;90
260;20200108;2;60;91;0;10200;94
260;20200108;3;60;96;0;10200;95
260;20200108;4;60;101;0;10199;95
260;20200108;5;50;106;0;10198;96
260;20200108;6;60;108;0;10199;96
260;20200108;7;60;111;0;10201;96
260;20200108;8;50;113;0;10207;95
260;20200108;9;50;112;2;10215;95
260;20200108;10;40;114;9;10219;94
260;20200108;11;40;115;13;10218;94
260;20200108;12;40;115;12;10216;93
260;20200108;13;30;117;17;10218;91
260;20200108;14;30;115;18;10218;92
260;20200108;15;30;111;6;10225;92
260;20200108;16;30;108;1;10226;93
260;20200108;17;20;105;0;10230;91
260;20200108;18;30;102;0;10230;93
260;20200108;19;20;100;0;10227;94
260;20200108;20;20;96;0;10225;96
260;20200108;21;20;94;0;10220;98
