STN;YYYYMMDD;HH;FH;T;Q;P;U
260;20210101;1;10;-25;0;10059;98
260;20210101;2;10;-32;0;10061;98
260;20210101;3;20;-27;0;10064;98
260;20210101;4;20;-11;0;10064;98
260;20210101;5;20;11;0;10064;95
260;20210101;6;30;19;0;10066;92
260;20210101;7;20;22;0;10070;90
260;20210101;8;30;27;0;10073;89
260;20210101;9;20;31;6;10078;90
260;20210101;10;20;35;19;10082;90
260;20210101;11;20;46;41;10083;89
260;20210101;12;20;50;67;10082;87
260;20210101;13;10;54;31;10080;88
260;20210101;14;20;56;20;10081;86
260;20210101;15;30;54;9;10084;85
260;20210101;16;20;51;1;10088;89
260;20210101;17;20;49;0;10091;90
260;20210101;18;20;46;0;10094;90
260;20210101;19;20;45;0;10099;92
260;20210101;20;20;46;0;10103;92
260;20210101;21;20;38;0;10106;94
260;20210101;22;20;41;0;10109;94
260;20210101;23;30;42;0;10111;94
260;20210101;24;30;45;0;10113;93
260;20210102;1;30;41;0;10115;94
260;20210102;2;20;40;0;10118;95
260;20210102;3;20;37;0;10119;93
260;20210102;4;20;36;0;10119;94
260;20210102;5;20;34;0;10120;95
260;20210102;6;20;33;0;10123;95
260;20210102;7;20;32;0;10125;98
260;20210102;8;20;32;0;10131;98
260;20210102;9;20;33;4;10134;98
260;20210102;10;30;34;12;10137;98
260;20210102;11;20;37;28;10137;96
260;20210102;12;30;37;17;10135;98
260;20210102;13;20;37;18;10132;97
260;20210102;14;10;39;19;10132;97
260;20210102;15;10;39;8;10136;98
260;20210102;16;10;39;1;10137;95
260;20210102;17;20;37;0;10139;97
260;20210102;18;20;35;0;10142;98
260;20210102;19;10;37;0;10145;97
260;20210102;20;10;38;0;10147;96
260;20210102;21;10;38;0;10147;97
260;20210102;22;10;36;0;10149;97
260;20210102;23;10;36;0;10151;95
260;20210102;24;10;36;0;10153;93
260;20210103;1;20;32;0;10153;94
260;20210103;2;20;29;0;10154;97
260;20210103;3;20;31;0;10154;96
260;20210103;4;20;31;0;10152;96
260;20210103;5;30;31;0;10154;94
260;20210103;6;30;29;0;10156;94
260;20210103;7;30;29;0;10161;95
260;20210103;8;20;30;0;10165;95
260;20210103;9;30;31;3;10170;94
260;20210103;10;30;35;15;10175;89
260;20210103;11;40;35;12;10173;77
260;20210103;12;30;35;12;10170;79
260;20210103;13;40;39;20;10169;78
260;20210103;14;40;39;18;10170;81
260;20210103;15;50;38;4;10171;78
260;20210103;16;50;36;0;10174;74
260;20210103;17;40;35;0;10174;74
260;20210103;18;40;35;0;10175;76
260;20210103;19;50;35;0;10176;77
260;20210103;20;50;33;0;10176;81
260;20210103;21;40;32;0;10176;83
260;20210103;22;50;30;0;10175;88
260;20210103;23;40;30;0;10173;89
260;20210103;24;40;32;0;10172;89
260;20210104;1;50;31;0;10169;91
260;20210104;2;50;29;0;10170;93
260;20210104;3;50;29;0;10170;93
260;20210104;4;50;29;0;10168;92
260;20210104;5;50;30;0;10170;91
260;20210104;6;50;30;0;10173;91
260;20210104;7;50;31;0;10176;91
260;20210104;8;50;31;0;10180;90
260;20210104;9;50;34;5;10185;89
260;20210104;10;60;35;13;10187;86
260;20210104;11;60;32;11;10187;88
260;20210104;12;60;31;10;10184;85
260;20210104;13;60;29;6;10179;84
260;20210104;14;60;29;5;10179;82
260;20210104;15;50;27;4;10181;81
260;20210104;16;60;26;1;10180;81
260;20210104;17;50;25;0;10181;82
260;20210104;18;50;24;0;10182;83
260;20210104;19;50;25;0;10182;82
260;20210104;20;50;25;0;10182;83
260;20210104;21;50;26;0;10180;83
260;20210104;22;60;24;0;10178;84
260;20210104;23;50;23;0;10178;86
260;20210104;24;50;23;0;10174;86
260;20210105;1;50;23;0;10176;86
260;20210105;2;50;21;0;10177;88
260;20210105;3;50;22;0;10175;87
260;20210105;4;40;23;0;10173;87
260;20210105;5;40;23;0;10172;88
260;20210105;6;40;22;0;10176;89
260;20210105;7;40;23;0;10179;90
260;20210105;8;40;24;0;10182;92
260;20210105;9;30;27;2;10183;89
260;20210105;10;40;29;5;10185;89
260;20210105;11;40;34;16;10183;87
260;20210105;12;40;31;10;10179;90
260;20210105;13;40;31;8;10174;90
260;20210105;14;40;29;5;10176;91
260;20210105;15;40;31;4;10178;90
260;20210105;16;40;32;0;10178;88
260;20210105;17;40;33;0;10179;87
260;20210105;18;40;33;0;10182;88
260;20210105;19;40;35;0;10183;89
260;20210105;20;40;36;0;10185;88
260;20210105;21;40;35;0;10185;90
260;20210105;22;30;35;0;10185;90
260;20210105;23;40;34;0;10184;90
260;20210105;24;50;32;0;10183;91
260;20210106;1;40;30;0;10180;91
260;20210106;2;40;29;0;10180;89
260;20210106;3;50;24;0;10179;88
260;20210106;4;50;23;0;10177;88
260;20210106;5;40;22;0;10176;88
260;20210106;6;40;20;0;10175;87
260;20210106;7;40;20;0;10178;86
260;20210106;8;30;20;0;10180;84
260;20210106;9;30;22;5;10181;86
260;20210106;10;30;25;15;10180;86
260;20210106;11;20;26;19;10176;85
260;20210106;12;20;30;30;10170;81
260;20210106;13;20;31;18;10163;80
260;20210106;14;20;31;15;10163;83
260;20210106;15;20;29;8;10160;85
260;20210106;16;20;27;1;10161;83
260;20210106;17;10;23;0;10158;85
260;20210106;18;10;23;0;10157;85
260;20210106;19;10;23;0;10156;84
260;20210106;20;10;21;0;10155;86
260;20210106;21;20;22;0;10151;86
260;20210106;22;20;22;0;10150;85
260;20210106;23;20;15;0;10148;91
260;20210106;24;10;13;0;10144;94
260;20210107;1;10;15;0;10141;93
260;20210107;2;20;13;0;10139;94
260;20210107;3;20;14;0;10136;95
260;20210107;4;20;14;0;10132;95
260;20210107;5;20;16;0;10129;94
260;20210107;6;20;18;0;10126;95
260;20210107;7;20;20;0;10126;95
260;20210107;8;20;19;0;10128;96
260;20210107;9;20;24;11;10130;96
260;20210107;10;20;27;14;10130;93
260;20210107;11;30;31;23;10127;94
260;20210107;12;20;37;39;10121;92
260;20210107;13;30;40;21;10116;86
260;20210107;14;30;28;9;10116;93
260;20210107;15;30;37;5;10115;91
260;20210107;16;40;35;1;10117;89
260;20210107;17;30;33;0;10117;92
260;20210107;18;20;32;0;10115;93
260;20210107;19;30;34;0;10118;92
260;20210107;20;20;29;0;10117;97
260;20210107;21;20;26;0;10118;96
260;20210107;22;20;26;0;10118;95
260;20210107;23;20;26;0;10118;96
260;20210107;24;10;26;0;10119;96
260;20210108;1;10;25;0;10119;96
260;20210108;2;10;25;0;10122;97
260;20210108;3;10;27;0;10124;95
260;20210108;4;10;26;0;10125;97
260;20210108;5;10;24;0;10126;97
260;20210108;6;10;13;0;10130;97
260;20210108;7;10;11;0;10135;98
260;20210108;8;10;13;0;10142;98
260;20210108;9;10;20;9;10150;98
260;20210108;10;10;29;39;10156;95
260;20210108;11;20;33;48;10159;90
260;20210108;12;30;35;41;10161;86
260;20210108;13;20;39;38;10163;85
260;20210108;14;20;43;67;10165;81
260;20210108;15;20;31;23;10172;84
260;20210108;16;10;10;5;10179;93
260;20210108;17;10;-2;0;10184;97
260;20210108;18;10;-12;0;10191;98
260;20210108;19;10;-20;0;10198;98
260;20210108;20;10;-14;0;10202;97
260;20210108;21;10;-18;0;10208;98
260;20210108;22;10;-20;0;10210;98
260;20210108;23;10;-25;0;10211;98
260;20210108;24;10;-28;0;10213;98
260;20210109;1;10;-30;0;10215;98
260;20210109;2;10;-34;0;10221;97
260;20210109;3;10;-27;0;10222;97
260;20210109;4;10;-33;0;10224;95
260;20210109;5;10;-39;0;10226;96
260;20210109;6;10;-42;0;10230;97
260;20210109;7;10;-44;0;10232;97
260;20210109;8;10;-42;1;10237;97
260;20210109;9;10;-15;23;10244;95
260;20210109;10;10;3;33;10246;97
260;20210109;11;10;37;60;10244;88
260;20210109;12;20;55;86;10241;75
260;20210109;13;20;57;71;10237;76
260;20210109;14;20;61;65;10237;73
260;20210109;15;20;53;41;10242;77
260;20210109;16;20;31;2;10244;92
260;20210109;17;10;11;0;10246;98
260;20210109;18;10;-8;0;10248;96
260;20210109;19;10;-17;0;10249;99
260;20210109;20;10;-23;0;10251;99
260;20210109;21;10;-27;0;10253;99
260;20210109;22;10;-31;0;10253;99
260;20210109;23;10;-25;0;10252;98
260;20210109;24;10;-24;0;10251;98
260;20210110;1;10;-28;0;10250;98
260;20210110;2;10;-19;0;10250;97
260;20210110;3;20;-28;0;10248;97
260;20210110;4;10;-26;0;10244;96
260;20210110;5;10;-30;0;10242;96
260;20210110;6;10;-33;0;10239;96
260;20210110;7;10;-26;0;10241;96
260;20210110;8;10;-15;0;10242;98
260;20210110;9;10;-2;9;10244;97
260;20210110;10;20;20;34;10245;95
260;20210110;11;20;47;82;10240;80
260;20210110;12;30;50;72;10237;78
260;20210110;13;30;51;56;10232;75
260;20210110;14;30;46;37;10232;78
260;20210110;15;30;45;12;10232;78
260;20210110;16;30;42;2;10233;81
260;20210110;17;30;39;0;10233;83
260;20210110;18;30;39;0;10229;85
260;20210110;19;30;39;0;10231;85
260;20210110;20;40;37;0;10225;88
260;20210110;21;40;36;0;10224;88
260;20210110;22;40;37;0;10222;88
260;20210110;23;40;35;0;10216;90
260;20210110;24;40;38;0;10212;89
260;20210111;1;40;37;0;10208;90
260;20210111;2;40;36;0;10206;89
260;20210111;3;50;33;0;10202;92
260;20210111;4;50;29;0;10200;93
260;20210111;5;40;34;0;10193;94
260;20210111;6;50;38;0;10188;92
260;20210111;7;60;38;0;10180;92
260;20210111;8;50;38;0;10179;90
260;20210111;9;50;40;1;10178;89
260;20210111;10;50;44;5;10178;87
260;20210111;11;60;47;6;10170;85
260;20210111;12;50;49;15;10158;86
260;20210111;13;60;50;14;10150;85
260;20210111;14;60;52;11;10143;84
260;20210111;15;60;55;9;10138;85
260;20210111;16;60;58;1;10132;84
260;20210111;17;60;62;0;10124;80
260;20210111;18;60;61;0;10119;83
260;20210111;19;60;61;0;10115;86
260;20210111;20;50;59;0;10107;93
260;20210111;21;60;65;0;10101;92
260;20210111;22;60;67;0;10090;90
260;20210111;23;60;68;0;10085;92
260;20210111;24;60;70;0;10076;93
260;20210112;1;70;69;0;10063;95
260;20210112;2;60;71;0;10055;95
260;20210112;3;50;77;0;10050;96
260;20210112;4;40;79;0;10040;96
260;20210112;5;50;82;0;10033;95
260;20210112;6;50;78;0;10033;94
260;20210112;7;30;74;0;10038;91
260;20210112;8;30;66;0;10049;94
260;20210112;9;40;60;11;10063;91
260;20210112;10;30;60;23;10074;86
260;20210112;11;40;63;58;10086;81
260;20210112;12;50;60;76;10089;66
260;20210112;13;50;68;89;10092;57
260;20210112;14;40;67;62;10097;63
260;20210112;15;40;44;25;10107;84
260;20210112;16;30;39;14;10118;87
260;20210112;17;20;33;0;10125;87
